site,year
1021000,2010
1053500,2013
1054000,2013
1054500,2014
1067950,2012
1081000,2014
1082000,2017
1091500,2019
1094000,2019
1096500,2014
1099500,2014
1100000,2014
1105876,2015
1113895,2013
1120790,2010
1125100,2013
1125500,2014
1135500,2014
1150900,2013
1151500,2017
1152010,2018
1152500,2010
1157000,2013
1162000,2014
1166500,2010
1170000,2010
1172010,2010
1177000,2010
1321000,2010
1327750,2013
1346000,2014
1347000,2014
1348000,2010
1350180,2013
1361000,2013
1367500,2013
1371500,2013
1559000,2010
1629500,2013
1636500,2010
2024752,2011
2025500,2014
2153551,2016
2163500,2014
2167000,2014
2181350,2015
2181580,2010
2207335,2010
2219000,2013
2335815,2014
2364500,2010
3209000,2015
3221000,2015
3287000,2013
3453000,2011
3503000,2011
4044003,2019
4044724,2015
4058100,2013
4062000,2015
4066003,2015
4066030,2015
4069500,2015
4071765,2016
4101225,2019
4108660,2014
4113000,2014
4122001,2018
4124200,2015
4125550,2013
4136500,2013
4137005,2018
4137500,2013
4191500,2013
4231600,2015
4232730,2014
4235440,2013
4249000,2013
4250200,2011
4250750,2010
4258000,2018
4262000,2013
4273500,2018
4282000,2014
4285500,2017
4290500,2010
4292500,2010
4293000,2015
4294000,2015
5129515,2016
5200510,2013
5242300,2013
5247500,2018
5267000,2011
5270700,2018
5341752,2013
5342000,2013
5355092,2018
5383075,2010
5421740,2017
5442300,2010
5443500,2013
5507800,2016
6192500,2012
6204070,2013
6714500,2019
6730525,2017
6741510,2012
6796000,2015
6926000,2018
7083710,2010
7191500,2016
7263450,2010
8053000,2010
8167800,2017
8169845,2019
8173900,2018
8361000,2015
9050700,2016
9057500,2016
9079450,2017
9080400,2017
9085000,2010
9128000,2016
9146020,2010
9211200,2015
9237500,2010
9353800,2014
9358000,2016
9380000,2015
9410100,2016
9419749,2017
9423000,2012
9427520,2017
9512165,2011
10113500,2012
10132000,2016
10136500,2016
10137000,2016
10140100,2012
10140700,2012
10145400,2016
10146000,2012
10153100,2010
10155200,2010
10234500,2015
10312275,2012
10344500,2013
11290000,2018
11465200,2012
