start,end,lat,lon,name,site_id,post_csv_filename,pv_id,wind_id,pv_wind_id_same
1/1/00,12/31/20,40.14771527,-105.8658793,GRANBY,9019500,./data/hydro//npd/synthetic_profiles/npd_9019500_2016_synthetic.csv,CO01656,CO01656,TRUE
1/1/00,12/31/20,36.46667,-91.53,MAMMOTH SPRINGS DAM 3,7069220,,AR01157,AR01157,TRUE
1/1/00,12/31/20,35.39471361,-106.5475309,JEMEZ CANYON DAM,8328950,./data/hydro//npd/synthetic_profiles/npd_8328950_2016_synthetic.csv,NM00003,NM00003,TRUE
1/1/00,12/31/20,41.4750376,-79.44546419,TIONESTA DAM,3020000,./data/hydro//npd/synthetic_profiles/npd_3020000_2019_synthetic.csv,PA00110,PA00110,TRUE
1/1/00,12/31/20,34.39866661,-87.98793911,Bear Creek,3592000,./data/hydro//npd/synthetic_profiles/npd_3592000_2018_synthetic.csv,AL05903,AL05903,TRUE
1/1/00,12/31/20,35.34394228,-103.4448062,UTE DAM,7227000,./data/hydro//npd/synthetic_profiles/npd_7227000_2015_synthetic.csv,NM00293,NM00293,TRUE
1/1/00,12/31/20,32.25014342,-96.64707736,BARDWELL LAKE,8063800,./data/hydro//npd/synthetic_profiles/npd_8063800_2012_synthetic.csv,TX00001,TX00001,TRUE
1/1/00,12/31/20,42.17066253,-104.6973797,GRAYROCKS,6670500,./data/hydro//npd/synthetic_profiles/npd_6670500_2019_synthetic.csv,WY01496,WY01496,TRUE
1/1/00,12/31/20,41.988617,-72.60346926,ENFIELD DAM,1184000,./data/hydro//npd/synthetic_profiles/npd_1184000_2010_synthetic.csv,CT00583,CT00583,TRUE
1/1/00,12/31/20,41.35790294,-73.66544033,CROTON FALLS DAM,1374701,./data/hydro//npd/synthetic_profiles/npd_1374701_2010_synthetic.csv,NY00039,NY00039,TRUE
1/1/00,12/31/20,36.75166341,-83.25657005,MARTINS FORK DAM,3400800,./data/hydro//npd/synthetic_profiles/npd_3400800_2015_synthetic.csv,KY03061,KY03061,TRUE
1/1/00,12/31/20,43.10639,-75.20834,UTICA HARBOR DAM,1342602,./data/hydro//npd/synthetic_profiles/npd_1342602_2018_synthetic.csv,NY00953,NY00953,TRUE
1/1/00,12/31/20,36.12065721,-114.9102765,LAKE LAS VEGAS,9419800,./data/hydro//npd/synthetic_profiles/npd_9419800_2014_synthetic.csv,NV10153,NV10153,TRUE
1/1/00,12/31/20,40.89590634,-74.3981726,Boonton Dam,1381000,./data/hydro//npd/synthetic_profiles/npd_1381000_2013_synthetic.csv,NJ00354,NJ00354,TRUE
1/1/00,12/31/20,37.60163041,-83.83265398,KENTUCKY RIVER LOCK & DAM 13,3282060,./data/hydro//npd/synthetic_profiles/npd_3282060_2013_synthetic.csv,KY01205,KY01205,TRUE
1/1/00,12/31/20,43.09355473,-71.65996233,EVERETT DAM,1091500,./data/hydro//npd/synthetic_profiles/npd_1091500_2018_synthetic.csv,NH00002,NH00002,TRUE
1/1/00,12/31/20,37.78452214,-84.10328751,KENTUCKY RIVER LOCK & DAM 11,3282290,./data/hydro//npd/synthetic_profiles/npd_3282290_2014_synthetic.csv,KY01203,KY01203,TRUE
1/1/00,12/31/20,32.65073255,-97.44840009,BENBROOK LAKE,8047000,./data/hydro//npd/synthetic_profiles/npd_8047000_2012_synthetic.csv,TX00003,TX00003,TRUE
1/1/00,12/31/20,43.75577387,-74.275498,INDIAN LAKE STONE DAM,1315000,./data/hydro//npd/synthetic_profiles/npd_1315000_2010_synthetic.csv,1787,NY00155,TRUE
1/1/00,12/31/20,42.46480853,-85.74945551,Otsego Dam,4108660,./data/hydro//npd/synthetic_profiles/npd_4108660_2014_synthetic.csv,MI00619,MI00619,TRUE
1/1/00,12/31/20,37.74576434,-84.58728285,KENTUCKY RIVER LOCK & DAM 8,3284500,./data/hydro//npd/synthetic_profiles/npd_3284500_2012_synthetic.csv,KY01201,KY01201,TRUE
1/1/00,12/31/20,37.84321867,-84.44046271,KENTUCKY RIVER LOCK & DAM 9,3284230,./data/hydro//npd/synthetic_profiles/npd_3284230_2014_synthetic.csv,KY01202,KY01202,TRUE
