site,year
9019500,2016
8328950,2016
3020000,2019
3592000,2018
7227000,2015
8063800,2012
6670500,2019
1184000,2010
1374701,2010
3400800,2015
1342602,2018
9419800,2014
1381000,2013
3282060,2013
1091500,2018
3282290,2014
8047000,2012
1315000,2010
4108660,2014
3284500,2012
3284230,2014
8028000,2012
1544000,2013
3225500,2015
3321500,2015
3287250,2013
4235600,2014
9239500,2015
2469761,2014
2466030,2010
10344500,2014
2243960,2010
9512165,2011
4192500,2014
5018000,2018
1123600,2013
6227600,2010
1375000,2014
4182900,2015
2467000,2019
3287000,2013
3282120,2014
1354500,2014
3090500,2014
3150000,2013
8096500,2010
5454500,2013
5464000,2013
1520000,2010
3058000,2012
14155500,2011
1328770,2018
8055000,2012
7263012,2011
2238500,2016
3086000,2013
8401500,2018
8403500,2010
2105500,2013
11476500,2011
4180500,2010
14170000,2011
14162200,2011
6017000,2019
2304500,2012
9429000,2016
6875900,2016
3049500,2013
1541200,2017
1166500,2019
3082500,2015
4247000,2014
2465000,2012
3249500,2010
1188090,2014
2105769,2013
9041400,2019
9426000,2012
5463050,2017
4242500,2011
3209000,2015
3320000,2016
1347000,2018
3039000,2014
2341460,2014
8162500,2017
5464730,2019
9246500,2014
1153000,2018
8048000,2012
7241000,2013
1500000,2017
3042500,2015
4151500,2014
3070260,2015
3124500,2015
1575500,2012
8104100,2017
1518000,2010
3203600,2013
3111500,2013
6890900,2017
3056000,2016
5430500,2016
1113895,2017
5378500,2018
