,site_id,lat,lon,c_stab
3,3020000,41.4750376,-79.44546419,0.37155762
4,3592000,34.39866661,-87.98793911,0.29437357
7,6670500,42.17066253,-104.6973797,0.33660766
8,1184000,41.988617,-72.60346926,0.2966674
10,3400800,36.75166341,-83.25657005,0.27439922
11,1342602,43.10639,-75.20834,0.321758
12,9419800,36.12065721,-114.9102765,0.78578925
14,3282060,37.60163041,-83.83265398,0.1430873
15,1091500,43.09355473,-71.65996233,0.38366407
16,3282290,37.78452214,-84.10328751,0.16714327
18,1315000,43.75577387,-74.275498,0.5009505
19,4108660,42.46480853,-85.74945551,0.787028
20,3284500,37.74576434,-84.58728285,0.15298395
21,3284230,37.84321867,-84.44046271,0.15168731
25,3321500,37.85831301,-87.41062104,0.27175415
26,3287250,38.05201874,-84.83054111,0.20424819
27,4235600,43.059751,-76.83772739,0.3185205
29,2469761,31.75747968,-88.12944571,0.20527762
31,10344500,39.39009,-120.0955,0.5124144
32,2243960,29.50861709,-81.80572505,0.6327149
35,5018000,48.8521,-113.4159,0.29368547
36,1123600,42.08194533,-72.05919147,0.24264556
40,2467000,32.52065708,-87.87883184,0.20624417
42,3287000,37.92672034,-84.82159285,0.21400025
43,3282120,37.67724554,-83.94808865,0.16309653
44,1354500,42.87811653,-74.04201653,0.17397049
45,3090500,41.04614954,-81.00249105,0.29372522
46,3150000,39.73262061,-81.90871632,0.33517292
48,5454500,41.65791354,-91.5409205,0.16180436
52,14155500,43.78679293,-122.9547658,0.4251361
53,1328770,43.18833,-73.58334,0.40971333
55,7263012,34.95197915,-93.16036063,0.1912148
57,3086000,40.50333787,-80.08930625,0.3064728
58,8401500,32.54783,-104.3781,0.33026475
59,8403500,32.49074942,-104.2521162,0.3239225
60,2105500,34.83539581,-78.82302352,0.29506987
63,14170000,44.12005533,-123.3021609,0.32828856
64,14162200,44.1711628,-122.3276174,0.40334117
65,6017000,45.13004,-112.7406,0.7627169
66,2304500,28.02462416,-82.42840625,0.2382607
67,9429000,33.73190075,-114.5118585,0.6671369
68,6875900,39.47786641,-98.31482202,0.21241352
69,3049500,40.6135564,-79.71762305,0.26053715
70,1541200,40.95209,-78.52301839,0.2652939
71,1166500,42.6325426,-72.1229774,0.42023826
73,4247000,43.27057007,-76.20613219,0.3665723
75,3249500,38.11760167,-83.53235945,0.8541959
76,1188090,41.79868627,-72.93143393,0.20645195
77,2105769,34.40473468,-78.29330392,0.20400123
79,9426000,34.23286575,-113.6013129,0.21187979
80,5463050,42.53940853,-92.44878063,0.28100413
83,3320000,37.53140468,-87.26479544,0.30421627
84,1347000,43.01417,-74.78416,0.31913367
85,3039000,40.71402307,-79.50829225,0.28137442
86,2341460,32.46965828,-84.99665091,0.33823365
88,5464730,41.94449167,-91.63053503,0.23998328
90,1153000,43.3389236,-72.50748553,0.2271167
103,3111500,40.21553154,-80.96267172,0.8141509
105,3056000,39.31293794,-80.03392405,0.27571207
106,5430500,42.66939773,-89.03152557,0.5796337
107,1113895,41.97145353,-71.47084333,0.35872644
108,5378500,44.16216,-91.81022,0.505499
