,site_id,lat,lon,c_stab
3,3020000,41.4750376,-79.44546419,-1.9796835
4,3592000,34.39866661,-87.98793911,0.21387018
7,6670500,42.17066253,-104.6973797,0.28030097
8,1184000,41.988617,-72.60346926,0.22520931
10,3400800,36.75166341,-83.25657005,0.22658753
11,1342602,43.106390000000005,-75.20834,0.055516183
12,9419800,36.12065721,-114.9102765,0.40063092
14,3282060,37.60163041,-83.83265398,0.10056564
15,1091500,43.09355473,-71.65996233,0.24616745
16,3282290,37.78452214,-84.10328751,0.07993382
18,1315000,43.75577387,-74.275498,0.3973221
19,4108660,42.46480853,-85.74945551,0.64554006
20,3284500,37.74576434,-84.58728285,0.01573718
21,3284230,37.84321867,-84.44046271,-0.46675262
25,3321500,37.85831301,-87.41062104,0.11136702
26,3287250,38.05201874,-84.83054111,0.09472255
27,4235600,43.059751,-76.83772739,-0.6794139
29,2469761,31.75747968,-88.12944571,0.15829735
31,10344500,39.39009,-120.0955,0.49108177
32,2243960,29.50861709,-81.80572505,0.59467465
35,5018000,48.8521,-113.4159,0.27031082
36,1123600,42.08194533,-72.05919147,0.09212999
40,2467000,32.52065708,-87.87883184,0.13865751
42,3287000,37.92672034,-84.82159285,0.087060064
43,3282120,37.67724554,-83.94808865,0.09559074
44,1354500,42.87811653,-74.04201653,0.095089
45,3090500,41.04614954,-81.00249105,-33.878304
46,3150000,39.73262061,-81.90871632,0.18438216
48,5454500,41.65791354,-91.5409205,0.06492459
52,14155500,43.78679293,-122.9547658,0.377352
53,1328770,43.18833,-73.58334,-0.08864004
55,7263012,34.95197915,-93.16036063,0.095795326
57,3086000,40.50333787,-80.08930625,0.22323215
58,8401500,32.54783,-104.3781,0.32785186
59,8403500,32.49074942,-104.2521162,0.32873315
60,2105500,34.83539581,-78.82302352,0.25892723
63,14170000,44.12005533,-123.30216090000002,0.24680948
64,14162200,44.1711628,-122.32761740000001,0.38049775
65,6017000,45.13004,-112.7406,-0.45654297
66,2304500,28.02462416,-82.42840625,0.17371616
67,9429000,33.73190075,-114.5118585,0.73738486
68,6875900,39.47786641,-98.31482202,0.15782887
69,3049500,40.6135564,-79.71762305,-0.3715752
70,1541200,40.952090000000005,-78.52301839,0.16631533
71,1166500,42.6325426,-72.12297740000001,-0.07654091
73,4247000,43.27057007,-76.20613219,0.26267242
75,3249500,38.11760167,-83.53235945,0.79212147
76,1188090,41.79868627,-72.93143393,0.1476456
77,2105769,34.40473468,-78.29330392,0.17519484
79,9426000,34.23286575,-113.6013129,0.23458618
80,5463050,42.53940853,-92.44878063,-5.1390877
83,3320000,37.53140468,-87.26479544,-1.2819813
84,1347000,43.01417,-74.78416,0.19554721
85,3039000,40.71402307,-79.50829225,-3.2149763
86,2341460,32.46965828,-84.99665091,0.27050233
88,5464730,41.94449167,-91.63053503,-0.542399
90,1153000,43.3389236,-72.50748553,0.14985836
103,3111500,40.21553154,-80.96267172,-3.4269183
105,3056000,39.31293794,-80.03392405,0.21350119
106,5430500,42.66939773,-89.03152557,-7.195841
107,1113895,41.97145353,-71.47084333,0.22544739
108,5378500,44.16216,-91.81022,0.3779376
