,site_id,p
3,3020000,0.06985895908402548
4,3592000,0.17315970022903338
7,6670500,-0.03630657454242461
8,1184000,0.06000778842147207
10,3400800,0.11709909045485631
11,1342602,0.09933329469749803
12,9419800,0.03639224971444976
14,3282060,0.03120544179660636
15,1091500,0.11447001822275786
16,3282290,0.08359633841818315
18,1315000,-0.029164143444167935
19,4108660,0.019471730130521447
20,3284500,0.1206837711340856
21,3284230,0.10514292864396355
25,3321500,0.13256985033417776
26,3287250,-0.003919135974725501
27,4235600,-0.0073087833456853095
29,2469761,0.10413889340541008
31,10344500,0.14421976382975055
32,2243960,-0.052362557986671554
35,5018000,-0.23771499248482886
36,1123600,0.04737032857632085
40,2467000,0.21780584655253998
42,3287000,-0.00615019739398299
43,3282120,0.07451449359756451
44,1354500,0.05228479076143465
45,3090500,-0.059292185751885385
46,3150000,0.03307755928470246
48,5454500,-0.018550451023193637
52,14155500,0.09705093309130096
53,1328770,0.192481042414768
55,7263012,-0.006544084199531942
57,3086000,0.05290610486315071
58,8401500,-0.0392956922498794
59,8403500,0.018912484846779327
60,2105500,-0.021340600185725592
63,14170000,0.18342889401792084
64,14162200,0.07514070646872278
65,6017000,0.34345670274448664
66,2304500,-0.19666390775572892
67,9429000,0.013643385805860157
68,6875900,-0.04082957358670652
69,3049500,0.0763064206142818
70,1541200,0.14538352123408418
71,1166500,0.13895223344048707
73,4247000,0.07852319069086386
75,3249500,
76,1188090,0.06429458942328009
77,2105769,-0.014024880890150443
79,9426000,-0.07932088202906616
80,5463050,0.1493572350576163
83,3320000,0.019995664593930818
84,1347000,0.18438770180344335
85,3039000,0.006304593676697397
86,2341460,0.2284380884599622
88,5464730,0.08923872894007372
90,1153000,0.20408324836268799
103,3111500,0.12027813371400503
105,3056000,0.13769991961053882
106,5430500,0.14488394627083923
107,1113895,0.04425119655018727
108,5378500,-0.08463674168641866
